businessentityid,title,firstname,middlename,lastname,persontype,namestyle,suffix,modifieddate,rowguid,emailpromotion
60,,Pete,C,Male,EM,f,,2009-01-04 00:00:00,0aeb5713-8bb0-4b8d-bf81-777158e5ff09,2
61,,Diane,H,Tibbott,EM,f,,2009-01-11 00:00:00,e054ffc1-258c-4da4-b2c1-40e155f4c88b,0
62,,John,T,Campbell,EM,f,,2014-02-07 00:00:00,f5a4cc1b-aefa-46ca-8888-2ca1c6d4034b,1
63,,Maciej,W,Dusza,EM,f,,2010-01-22 00:00:00,611d56eb-c29d-4f90-a5c6-1b3b2d44e5f8,0
64,,Michael,J,Zwilling,EM,f,,2010-02-16 00:00:00,dcc5aa7b-c09a-47a5-86a2-90d88191ebe6,1
65,,Randy,T,Reeves,EM,f,,2010-02-16 00:00:00,d988d8e0-c335-4f4c-9ed9-199feb7fd4a7,0
66,,Karan,R,Khanna,EM,f,,2009-12-15 00:00:00,58c97993-7491-49ee-bfdd-cd80ce2c922a,1
67,,Jay,G,Adams,EM,f,,2009-02-26 00:00:00,2fe289a7-ce57-49e5-be61-3e6580d22ea6,0
68,,Charles,B,Fitzgerald,EM,f,,2009-11-26 00:00:00,1e7cd457-a854-4d68-acfb-3d752eebd231,2
69,,Steve,F,Masters,EM,f,,2009-02-08 00:00:00,85f55758-54c4-4048-acbe-bd9515669122,1
70,,David,J,Ortiz,EM,f,,2008-12-08 00:00:00,60245b9f-eabd-48cf-9fa9-c5dd48bcb3df,0
71,,Michael,Sean,Ray,EM,f,,2009-02-08 00:00:00,ca42a0b4-c068-4c75-a8a3-de8953760927,2
72,,Steven,T,Selikoff,EM,f,,2008-11-24 00:00:00,7455feff-9238-4c29-819f-a4df6508c0f8,2
73,,Carole,M,Poland,EM,f,,2008-12-12 00:00:00,4ee4faf4-9c85-4022-b07f-956f1c5595d5,2
74,,Bjorn,M,Rettig,EM,f,,2008-12-31 00:00:00,056617d9-e65f-41c7-98af-9c14c4569652,1
75,,Michiko,F,Osada,EM,f,,2009-01-19 00:00:00,670ce5a5-2b86-4ad7-aef5-df2aaac4a6ab,0
76,,Carol,M,Philips,EM,f,,2009-02-05 00:00:00,7ac771b3-347a-49fa-9298-487b02fa359d,2
77,,Merav,A,Netz,EM,f,,2009-02-24 00:00:00,f9427582-fd1b-45de-922d-2c2c58cea0f7,0
78,,Reuben,H,D'sa,EM,f,,2008-12-08 00:00:00,aebeaa5b-d861-4703-a959-6d0f6f4cdf74,2
79,,Eric,L,Brown,EM,f,,2010-01-17 00:00:00,d0efaf3a-04dc-442f-9aa1-926c38105241,0
80,,Sandeep,P,Kaliyath,EM,f,,2010-01-10 00:00:00,7e5b79f9-5b7a-41dc-850f-23b4764b5161,2
81,,Mihail,U,Frintu,EM,f,,2009-12-22 00:00:00,1062ca88-998c-472c-8bd5-9f3d4bc4d2fb,0
82,,Jack,T,Creasey,EM,f,,2010-02-24 00:00:00,ed8b39af-5da5-405f-8c38-a6c3ac25ca1b,0
83,,Patrick,M,Cook,EM,f,,2010-02-05 00:00:00,f03e1512-0dc2-4329-8f21-6c5dbb9996f3,0
84,,Frank,R,Martinez,EM,f,,2010-01-29 00:00:00,b66ab99e-691c-4cac-b62d-579816800bfa,1
85,,Brian,Richard,Goldstein,EM,f,,2009-12-04 00:00:00,61ce0232-4144-48ae-ba3b-1d509505f106,0
86,,Ryan,L,Cornelsen,EM,f,,2008-12-29 00:00:00,0e3f7512-87a6-4c0d-9e02-30919a75bf60,2
87,,Cristian,K,Petculescu,EM,f,,2008-12-15 00:00:00,45fe0378-ed23-4d24-a5f5-11b10b402980,1
88,,Betsy,A,Stadick,EM,f,,2009-12-11 00:00:00,c214ab1e-a07e-4a62-9033-19dde0de1937,0
89,,Patrick,C,Wedge,EM,f,,2010-01-25 00:00:00,cd334ac3-ee11-4999-bba1-7f33de161124,0
90,,Danielle,C,Tiedt,EM,f,,2010-02-13 00:00:00,852a07ee-1d24-4810-8121-365dab884c8d,1
91,,Kimberly,B,Zimmerman,EM,f,,2010-01-05 00:00:00,67647d8c-c685-4704-81b7-ae1087cc2c6d,0
92,,Tom,M,Vande Velde,EM,f,,2010-03-03 00:00:00,a36da26b-29ba-4627-9731-134d65a53143,0
93,,Kok-Ho,T,Loh,EM,f,,2008-12-20 00:00:00,3e4ae757-8c3e-47cc-bc20-528ccf271e3d,2
94,,Russell,,Hunter,EM,f,,2008-12-05 00:00:00,288ef549-203c-439c-a6b2-32fd822327ff,1
95,,Jim,H,Scardelis,EM,f,,2008-12-12 00:00:00,a45f89bb-9748-41f8-9faa-a5d76df4b029,2
96,,Elizabeth,I,Keyser,EM,f,,2009-02-23 00:00:00,cb9a2a0c-68e5-475b-9d6d-ebd548fe5b9c,0
97,,Mandar,H,Samant,EM,f,,2009-02-03 00:00:00,907ae318-9ff7-4b56-b52b-5fdca7bf8a62,0
98,,Sameer,A,Tejani,EM,f,,2009-02-04 00:00:00,f19be575-4a2e-413d-9be9-0af4b75c6fcd,0
99,,Nuan,,Yu,EM,f,,2008-12-30 00:00:00,938fcd64-e06d-453c-9e70-bfe41753557b,0
100,,Lolan,B,Song,EM,f,,2009-01-05 00:00:00,dcd41870-a67b-4d7f-b874-92c6854e1d0d,1
101,,Houman,N,Pournasseh,EM,f,,2009-01-18 00:00:00,14e39720-994d-42c0-a26d-7877bb264ff5,2
102,,Zheng,W,Mu,EM,f,,2008-11-26 00:00:00,17d15ae1-fb50-4303-a509-24c6c553c17d,0
103,,Ebru,N,Ersan,EM,f,,2009-11-29 00:00:00,64a9674e-9625-4ef2-8f4d-357390735c08,2
104,,Mary,R,Baker,EM,f,,2009-12-18 00:00:00,9e450675-b7f1-47c1-bb64-95e998b57ed4,2
105,,Kevin,M,Homer,EM,f,,2009-12-18 00:00:00,1d1c9d2a-ea15-409c-8e32-8f5c6f8f286a,0
106,,John,T,Kane,EM,f,,2010-02-20 00:00:00,4c117c8f-07c6-4b4e-a7d0-b8ad58eed8ae,1
107,,Christopher,E,Hill,EM,f,,2010-02-01 00:00:00,a066751c-b57f-4186-8219-6652ae1189b1,0
108,,Jinghao,K,Liu,EM,f,,2008-12-01 00:00:00,dd35eb13-6d4f-4c82-b33c-d693090722b6,0
109,,Alice,O,Ciccu,EM,f,,2008-11-30 00:00:00,b5836e66-4251-4d4d-8f49-8e6d9e3c9d64,1
110,,Jun,T,Cao,EM,f,,2008-12-07 00:00:00,20bdff3b-3561-482b-b02d-da9b6183b6d9,0
111,,Suroor,R,Fatima,EM,f,,2008-12-10 00:00:00,62c97c5b-5cab-42c6-813d-c0c75bbbfd7b,0
112,,John,P,Evans,EM,f,,2008-12-25 00:00:00,fcfa001c-d5bc-455f-9124-21290b4a5304,1
113,,Linda,K,Moschell,EM,f,,2008-12-18 00:00:00,1552d700-1e1c-4725-8074-d8d7d9a49b0e,1
114,,Mindaugas,J,Krapauskas,EM,f,,2009-01-06 00:00:00,7c623d80-0a62-42de-a355-24715a7160c6,1
115,,Angela,W,Barbariol,EM,f,,2009-01-13 00:00:00,8e6adfd0-2fe0-4eb9-93f2-a04fd877f6dc,2
116,,Michael,W,Patten,EM,f,,2009-01-24 00:00:00,c31d89be-1db6-495b-8699-4669e5fa4b9d,0
117,,Chad,W,Niswonger,EM,f,,2009-02-11 00:00:00,1cac3a75-34ab-45c1-b9f1-7caa44c76a75,1
118,,Don,L,Hall,EM,f,,2009-02-06 00:00:00,f369194e-2ff0-4e61-97a7-b821f8b2baed,0
119,,Michael,T,Entin,EM,f,,2009-02-18 00:00:00,7533c47d-8e8f-40ac-8383-cf3df57e3d84,1
120,,Kitti,H,Lertpiriyasuwat,EM,f,,2009-02-25 00:00:00,bfadc42c-0d0e-4bda-94b7-b14e89f5fc69,0
121,,Pilar,G,Ackerman,EM,f,,2008-12-26 00:00:00,81f50324-d0b5-4ea5-8b20-f99d46572c76,0
122,,Susan,W,Eaton,EM,f,,2008-11-30 00:00:00,84c723ac-f07f-4299-89b1-faabb9ca47fc,2
123,,Vamsi,N,Kuppa,EM,f,,2008-11-30 00:00:00,37154efe-002f-4d85-a84b-a8b1ff714bc6,0
124,,Kim,T,Ralls,EM,f,,2008-12-19 00:00:00,7ab39816-ff5a-4f3d-a3dc-88d906ec054f,2
125,,Matthias,T,Berndt,EM,f,,2009-01-13 00:00:00,318bf718-6ccc-4f26-ac81-00eaf17b1bfe,0
126,,Jimmy,T,Bischoff,EM,f,,2009-02-19 00:00:00,52182904-cfaf-4b2d-8d77-268de7ab5da4,0
127,,David,P,Hamilton,EM,f,,2008-12-27 00:00:00,d6532f6d-a832-4266-b0f0-2f874f5a85ba,1
128,,Paul,B,Komosinski,EM,f,,2008-11-27 00:00:00,e4145f40-88d2-43f4-a018-9bfb38d6d9ff,2
129,,Gary,W,Yukish,EM,f,,2008-12-15 00:00:00,09ea8640-ed99-4205-9433-078f1d81d221,0
130,,Rob,T,Caron,EM,f,,2009-02-06 00:00:00,909f01ef-2f6d-44dd-af8d-1553bed7eacf,0
131,,Baris,F,Cetinok,EM,f,,2009-02-08 00:00:00,ba03c1a4-0577-44f5-bfbc-fc701c007f13,2
132,,Nicole,B,Holliday,EM,f,,2009-02-15 00:00:00,f101c5ee-17b1-4fb0-9cae-4a88694ceeaa,0
133,,Michael,L,Rothkugel,EM,f,,2009-01-03 00:00:00,ee04f4cb-977a-48d0-acb4-d89172fd5ae2,2
134,,Eric,,Gubbels,EM,f,,2009-01-07 00:00:00,4a9ac912-9e22-47b7-b126-5f3b576a430e,2
135,,Ivo,William,Salmre,EM,f,,2008-11-27 00:00:00,dfa4b008-d83f-4828-aac6-449e683909f5,0
136,,Sylvester,A,Valdez,EM,f,,2009-12-04 00:00:00,6152bec3-bb11-43aa-b691-9881ce6dd3f3,0
137,,Anibal,T,Sousa,EM,f,,2009-02-16 00:00:00,9b75a538-958c-4c91-987a-b9bcce683e8a,0
138,,Samantha,H,Smith,EM,f,,2009-01-28 00:00:00,11ef6f0a-29b6-4541-82f0-2e7a35179e48,0
139,Mr.,Hung-Fu,T,Ting,EM,f,,2009-12-30 00:00:00,739c7553-13e5-4f36-86f6-4775645547ae,0
140,,Prasanna,E,Samarawickrama,EM,f,,2010-01-15 00:00:00,e8673e92-31f6-42f4-a65c-a595d3f899f6,1
141,,Min,G,Su,EM,f,,2010-01-17 00:00:00,3bb0243e-11e3-4e5c-8db5-6b927c71432e,0
142,,Olinda,C,Turner,EM,f,,2010-02-25 00:00:00,bf741cec-34e0-4b44-99c2-e0382fcd9e8e,0
143,,Krishna,,Sunkammurali,EM,f,,2010-02-06 00:00:00,442c8270-1e84-47c5-a621-af10cf1b3546,2
144,,Paul,R,Singh,EM,f,,2009-01-10 00:00:00,ba4c0109-a2a4-4595-a357-38a64b643e3c,2
145,,Cynthia,S,Randall,EM,f,,2009-01-20 00:00:00,f0c15ad6-4cff-4931-a216-49b635596043,0
146,,Jian Shuo,,Wang,EM,f,,2008-11-30 00:00:00,009ebb72-9173-4aa9-920e-b578f3c927de,0
147,,Sandra,,ReÃ¡tegui Alayo,EM,f,,2008-12-19 00:00:00,b07fa8a6-a056-48ab-91f8-318c6c87b502,0
148,,Jason,M,Watters,EM,f,,2009-01-07 00:00:00,00d61032-0d0e-41e3-8f37-b5987c8d5087,0
149,,Andy,M,Ruth,EM,f,,2009-01-24 00:00:00,9cfdf60a-083a-44dc-afe2-d578c76fd55a,1
150,,Michael,T,Vanderhyde,EM,f,,2009-02-19 00:00:00,944ae1f8-e154-4752-9a24-8e8fe85156f3,2
151,,Rostislav,E,Shabalin,EM,f,,2009-02-12 00:00:00,faa146e7-5c07-4c47-8b66-dcda9be58d54,2
152,,Yuhong,L,Li,EM,f,,2009-01-25 00:00:00,866472d1-65c3-4aa7-b15b-f75ef10cb7d8,1
153,,Hanying,P,Feng,EM,f,,2008-12-09 00:00:00,ddaae515-0a69-4750-b6ee-7ac6629f55b8,0
154,,Raymond,K,Sam,EM,f,,2008-12-16 00:00:00,02717918-b884-41b9-87b3-a0f8c2939ec1,0
155,,Fadi,K,Fakhouri,EM,f,,2008-12-28 00:00:00,3ef14439-76b4-4086-be8d-0a03a6694425,2
156,,Lane,M,Sacksteder,EM,f,,2009-01-04 00:00:00,8591375e-8ed1-49c8-89f3-52aed00c77f1,1
157,,Linda,A,Randall,EM,f,,2009-01-27 00:00:00,ef38ac01-9c58-4cd0-aa39-d12dda3c3e9c,0
158,,Shelley,N,Dyck,EM,f,,2009-02-28 00:00:00,77b7f905-5028-491c-a1dc-80087aac7817,0
159,,Terrence,W,Earls,EM,f,,2009-02-09 00:00:00,15365ed2-53ac-4ec7-93bf-89ed5d903167,1
160,,Jeff,V,Hay,EM,f,,2009-01-14 00:00:00,8c7296ab-73da-4992-8200-833b2c625d50,1
161,,Kirk,J,Koenigsbauer,EM,f,,2008-12-08 00:00:00,35a9a423-c54f-48c5-9527-cf1e93089d92,1
162,,Laura,C,Steele,EM,f,,2008-12-27 00:00:00,5ff2682d-d7e7-48a3-9def-b60f0b8434fe,0
163,,Alex,M,Nayberg,EM,f,,2009-02-01 00:00:00,08ca0103-ca0e-4b52-a20f-590ba3fecda8,1
164,,Andrew,M,Cencini,EM,f,,2009-02-27 00:00:00,b1d33171-636c-440c-b4f6-f5f6f1ebbc70,0
165,,Chris,T,Preston,EM,f,,2009-01-15 00:00:00,9f2d6941-1de5-4076-9817-7eccf6c47d55,0
166,,Jack,S,Richins,EM,f,,2009-02-14 00:00:00,8f9bcf96-29e1-4bed-9bf4-d8260ad0af68,0
167,,David,N,Johnson,EM,f,,2008-11-25 00:00:00,c2c7021b-3209-45f7-8560-b3132595f9da,0
168,,Garrett,R,Young,EM,f,,2008-11-30 00:00:00,da309209-a597-4d54-b717-d984b38975d1,2
169,,Susan,A,Metters,EM,f,,2008-12-07 00:00:00,d8414490-ca5b-4517-bbe9-7fbf4d696771,1
170,,George,Z,Li,EM,f,,2008-12-14 00:00:00,e9e65deb-797b-4b49-b41c-81f1dc593bb9,0
171,,David,A,Yalovsky,EM,f,,2008-12-26 00:00:00,4c1f3e85-aeed-4a7d-a4fe-eedfb750e45d,1
172,,Marc,J,Ingle,EM,f,,2009-01-09 00:00:00,8a6062d5-1c3a-46bf-a080-f6cf6090e5f0,2
173,,Eugene,R,Zabokritski,EM,f,,2009-01-14 00:00:00,1284b1a5-d53c-4bf9-9777-05108b207103,0
174,,Benjamin,R,Martin,EM,f,,2009-01-20 00:00:00,4430a64d-3d5d-423e-81b9-6c4f9ed88ab7,2
175,,Reed,T,Koch,EM,f,,2009-01-26 00:00:00,892f02cf-a623-4499-b850-1b46469b597e,0
176,,David,Oliver,Lawrence,EM,f,,2009-02-07 00:00:00,0d4723b9-43e8-401d-bcba-c7dcd8178b8c,0
177,,Russell,M,King,EM,f,,2009-02-14 00:00:00,2f67de81-c40e-4234-8942-c77806fabfa3,0
178,,John,N,Frum,EM,f,,2009-02-24 00:00:00,ce13ff53-4465-4e3a-90da-2fa0e8f19378,2
179,,Jan,S,Miksovsky,EM,f,,2009-02-26 00:00:00,a0719eb6-7fc8-4db8-a5db-ea45a5bef0e2,0
180,,Katie,L,McAskill-White,EM,f,,2009-02-13 00:00:00,fe4ec240-d091-4e90-8f70-e9467fac3a18,2
181,,Michael,T,Hines,EM,f,,2008-12-02 00:00:00,b7004365-fdd8-4fcd-85fb-53a759447180,0
182,,Nitin,S,Mirchandani,EM,f,,2008-12-21 00:00:00,4bef5e3d-5c17-4b16-aac9-8e3611a4ffe5,0
183,,Barbara,S,Decker,EM,f,,2009-01-15 00:00:00,c175ea91-0a68-49db-9827-b4528f77d630,0
184,,John,Y,Chen,EM,f,,2009-02-02 00:00:00,5e6ec398-c951-44a2-bec7-dc1cd17faacc,2
185,,Stefen,A,Hesse,EM,f,,2009-02-21 00:00:00,266fce92-5534-4ac1-b68c-ecd8ceffcebc,1
186,,Shane,S,Kim,EM,f,,2009-02-01 00:00:00,1432f3e8-7cca-4c56-bdcb-02d5b0302bd9,2
187,,Yvonne,S,McKay,EM,f,,2008-12-02 00:00:00,f3a901c1-4d9f-4666-8726-c2c51643a5d6,0
188,,Douglas,B,Hite,EM,f,,2008-12-20 00:00:00,4ce168c6-28ff-454d-887e-8f96bb2fba93,1
189,,Janeth,M,Esteves,EM,f,,2009-01-08 00:00:00,a5a5a995-ad0a-4f50-847d-1ca048f11ee3,1
190,,Robert,J,Rounthwaite,EM,f,,2009-01-26 00:00:00,fbf84b1a-3b42-40fe-8bf0-3094dcf25888,0
191,,Lionel,C,Penuchot,EM,f,,2009-02-19 00:00:00,55b6eb95-61ed-4458-9bfb-f0560f001970,1
192,,Brenda,M,Diaz,EM,f,,2009-02-26 00:00:00,056bbd40-cdf0-428d-b12d-9ffb0ff5feae,1
193,,Alejandro,E,McGuel,EM,f,,2008-11-29 00:00:00,f38e101d-b360-4876-8e8f-07726e85ae5d,0
194,,Fred,T,Northup,EM,f,,2008-12-05 00:00:00,e28c41d6-d9ba-455d-b91d-e3c9f7b535e2,0
195,,Kevin,H,Liu,EM,f,,2008-12-10 00:00:00,14afae63-9c86-4e23-b82e-5aad4dbd1963,2
196,,Shammi,G,Mohamed,EM,f,,2008-12-17 00:00:00,923fdaec-6db1-42a7-9840-d9d335996596,0
197,,Rajesh,M,Patel,EM,f,,2008-12-24 00:00:00,ccc3c607-1e9b-4e62-8064-0b89594472f3,1
198,,Lorraine,O,Nay,EM,f,,2008-12-28 00:00:00,35495d48-03af-492f-bee5-fda7b3e61970,1
199,,Paula,R,Nartker,EM,f,,2009-01-05 00:00:00,d6ff616b-a950-48d2-8cc0-0e7f5a9ecda0,1
200,,Frank,T,Lee,EM,f,,2009-01-10 00:00:00,8025020e-4ff8-488b-99ca-74640e1f8dae,0
201,,Brian,T,Lloyd,EM,f,,2009-01-22 00:00:00,a3a2494b-f92d-473e-bfda-fc3fe406e134,0
202,,Tawana,G,Nusbaum,EM,f,,2009-01-29 00:00:00,63b57674-1205-41a1-a532-8e6c9f38e48d,0
203,,Ken,L,Myer,EM,f,,2009-02-17 00:00:00,981fcdb7-9792-463d-bf1f-f1b4ced52473,1
204,,Gabe,B,Mares,EM,f,,2009-03-01 00:00:00,0f0fa05e-e101-47e4-9bf7-1e0790b68e00,0
205,,Lori,A,Kane,EM,f,,2009-02-19 00:00:00,6f059df8-bb13-4cd0-abe1-d3e6688cedd1,0
206,,Stuart,V,Munson,EM,f,,2008-11-25 00:00:00,ce75c8b6-eac8-4b18-96fa-8182ad7233cd,2
207,,Greg,F,Alderson,EM,f,,2008-11-25 00:00:00,f3a921dd-55eb-46eb-a94d-68f4b080a388,0
208,,Scott,R,Gode,EM,f,,2009-01-01 00:00:00,1becec23-19f8-4b73-a404-12ccbcfad66e,0
209,,Kathie,E,Flood,EM,f,,2009-01-20 00:00:00,3ba601ae-2918-4936-9380-fd4c4f15dea4,0
210,,Belinda,M,Newman,EM,f,,2009-02-13 00:00:00,fa3467eb-b6ee-43a7-8bdd-15afe14f2738,2
211,,Hazem,E,Abolrous,EM,f,,2009-02-21 00:00:00,c2637051-25a5-4461-b06a-523119259430,0
212,,Peng,J,Wu,EM,f,,2008-12-02 00:00:00,24b9c3c3-a06d-44fa-aa24-34ddd3abf62c,2
213,,Sootha,T,Charncherngkha,EM,f,,2010-02-16 00:00:00,c334506c-197b-4010-935e-aee740818bc9,0
214,,Andreas,T,Berglund,EM,f,,2009-01-26 00:00:00,4f896936-fbf8-4120-bc87-62ccf30d09db,0
215,,Mark,L,Harrington,EM,f,,2009-01-08 00:00:00,494202a4-ee2d-406b-974f-85b70fe0889b,0
216,,Sean,P,Alexander,EM,f,,2008-12-21 00:00:00,aa6f6c92-c6b0-4c05-b3a3-90887a88de0f,2
217,,Zainal,T,Arifin,EM,f,,2008-12-28 00:00:00,989db0ac-1e7b-4cc8-b90f-1799172ed3aa,1
218,,Tengiz,N,Kharatishvili,EM,f,,2008-12-09 00:00:00,06cfed75-e8f0-4e81-871a-4368d9b9f73e,1
219,,Sean,N,Chai,EM,f,,2009-01-15 00:00:00,93d0906b-b2d7-486f-bd14-9a126be82ab6,0
220,,Karen,R,Berge,EM,f,,2009-02-02 00:00:00,20b3cf90-ba00-4dbf-8026-a028742dc328,0
